turbine,time,speed_k1,direction_k1,u_k1,v_k1,speed_k2,direction_k2,u_k2,v_k2,speed_k3,direction_k3,u_k3,v_k3,speed_k4,direction_k4,u_k4,v_k4
KWF4,2018-01-01 00:00:00,12.7225,256.8517,12.3890,2.8940,12.6444,256.1017,12.2742,3.0372,12.6058,257.1798,12.2915,2.7971,12.4945,256.6720,12.1579,2.8803
KWF4,2018-01-01 03:00:00,11.1317,250.0863,10.4661,3.7915,11.2532,248.8128,10.4926,4.0671,10.7772,250.6800,10.1703,3.5656,10.9075,250.6956,10.2943,3.6059
KWF4,2018-01-01 06:00:00,11.3976,219.6564,7.2738,8.7749,11.6945,219.8205,7.4890,8.9820,10.8810,218.0080,6.7002,8.5734,11.6320,220.2814,7.5206,8.8738
KWF4,2018-01-01 09:00:00,10.3053,203.8370,4.1647,9.4262,10.7496,204.1808,4.4032,9.8064,9.7706,202.1339,3.6813,9.0506,10.1095,203.5948,4.0465,9.2643
KWF4,2018-01-01 12:00:00,7.6593,216.3283,4.5374,6.1706,8.3307,218.0393,5.1334,6.5611,6.7784,213.0393,3.6957,5.6823,7.6124,216.0158,4.4762,6.1573
KWF4,2018-01-01 15:00:00,10.6474,268.4297,10.6434,0.2918,10.5273,266.2891,10.5052,0.6813,10.5956,270.3907,10.5954,-0.0722,10.6298,268.2500,10.6249,0.3246
KWF4,2018-01-01 18:00:00,13.9885,256.9850,13.6291,3.1503,14.2346,256.2037,13.8239,3.3945,13.6516,257.7115,13.3388,2.9055,13.9221,257.0319,13.5670,3.1242
KWF4,2018-01-01 21:00:00,15.0304,286.8290,14.3867,-4.3515,14.9210,286.6649,14.2943,-4.2790,14.9191,286.2509,14.3230,-4.1750,14.6017,287.2118,13.9478,-4.3207
KWF4,2018-01-02 00:00:00,11.9684,277.2500,11.8727,-1.5104,12.0817,278.1797,11.9588,-1.7190,11.7389,276.0703,11.6731,-1.2414,11.6998,275.1328,11.6529,-1.0467
KWF4,2018-01-02 03:00:00,11.2452,272.3048,11.2361,-0.4522,10.9991,272.5001,10.9886,-0.4798,11.3799,272.3204,11.3706,-0.4608,11.2373,269.4532,11.2368,0.1072
KWF4,2018-01-02 06:00:00,11.5812,244.2736,10.4332,5.0271,12.1319,243.9611,10.9005,5.3257,10.8077,244.6486,9.7669,4.6275,11.4845,242.0236,10.1424,5.3875
KWF4,2018-01-02 09:00:00,8.6525,210.8206,4.4331,7.4306,8.8742,209.8362,4.4151,7.6980,8.1770,211.6487,4.2905,6.9609,8.5783,206.0081,3.7616,7.7096
KWF4,2018-01-02 12:00:00,10.3368,174.8677,-0.9247,10.2954,10.5990,174.0474,-1.0992,10.5419,9.7113,175.0708,-0.8344,9.6754,10.5912,174.6880,-0.9805,10.5457
KWF4,2018-01-02 15:00:00,12.1657,234.2579,9.8744,7.1065,12.6286,232.9533,10.0795,7.6083,11.6823,234.9689,9.5660,6.7059,12.1423,237.5939,10.2514,6.5073
KWF4,2018-01-02 18:00:00,11.9153,224.3361,8.3272,8.5225,12.2239,223.7814,8.4578,8.8255,11.4695,224.7032,8.0681,8.1521,11.8782,224.3829,8.3082,8.4891
KWF4,2018-01-02 21:00:00,12.5396,211.9922,6.6435,10.6351,13.1402,212.0235,6.9678,11.1406,11.7242,211.9532,6.2047,9.9477,12.5425,212.3516,6.7117,10.5957
KWF4,2018-01-03 00:00:00,16.3959,257.3438,15.9975,3.5924,16.1469,258.1407,15.8022,3.3183,16.6117,257.2422,16.2016,3.6684,16.0956,257.7188,15.7273,3.4237
KWF4,2018-01-03 03:00:00,15.9548,260.5471,15.7381,2.6204,16.1120,259.4846,15.8414,2.9404,15.6188,261.7815,15.4584,2.2327,16.1711,261.3205,15.9859,2.4403
KWF4,2018-01-03 06:00:00,19.8409,258.3533,19.4324,4.0054,20.2882,258.8611,19.9060,3.9194,19.2599,257.9315,18.8342,4.0269,19.5983,258.4783,19.2034,3.9145
KWF4,2018-01-03 09:00:00,17.0860,270.8447,17.0842,-0.2519,17.2061,270.2822,17.2059,-0.0848,16.6783,270.9619,16.6760,-0.2800,16.2667,270.5635,16.2659,-0.1600
KWF4,2018-01-03 12:00:00,14.2903,267.3526,14.2750,0.6601,14.4417,268.4385,14.4363,0.3935,14.2463,266.2745,14.2162,0.9257,14.3176,267.4229,14.3031,0.6438
KWF4,2018-01-03 15:00:00,17.3195,261.8755,17.1457,2.4477,17.4445,262.4536,17.2934,2.2910,17.1457,261.3286,16.9497,2.5850,17.6115,262.0395,17.4418,2.4390
KWF4,2018-01-03 18:00:00,13.7838,249.0317,12.8710,4.9325,13.8453,247.5786,12.7987,5.2808,13.6852,250.2192,12.8777,4.6314,13.4811,248.5473,12.5471,4.9305
KWF4,2018-01-03 21:00:00,13.6665,249.2507,12.7800,4.8418,13.6533,247.7663,12.6381,5.1662,13.4536,250.3757,12.6721,4.5184,13.5742,249.2350,12.6924,4.8125
KWF4,2018-01-04 00:00:00,10.6711,250.7973,10.0774,3.5098,10.7541,249.7973,10.0925,3.7138,10.3859,251.8364,9.8684,3.2376,10.6760,250.2895,10.0505,3.6007
KWF4,2018-01-04 03:00:00,7.5284,239.6960,6.4997,3.7987,8.0538,241.4070,7.0716,3.8544,6.8448,237.3210,5.7613,3.6957,7.2208,240.0398,6.2559,3.6061
KWF4,2018-01-04 06:00:00,6.0696,204.1021,2.4786,5.5404,6.3791,206.3756,2.8340,5.7151,5.5881,201.3053,2.0304,5.2062,5.6018,200.2037,1.9346,5.2571
KWF4,2018-01-04 09:00:00,9.5893,154.7589,-4.0891,8.6737,9.6801,153.9464,-4.2516,8.6965,9.0053,154.2042,-3.9188,8.1079,9.9467,156.1651,-4.0195,9.0984
KWF4,2018-01-04 12:00:00,12.3657,227.5003,9.1170,8.3541,12.0630,225.3675,8.5843,8.4749,12.4507,229.0159,9.3989,8.1658,12.4429,228.5784,9.3304,8.2321
KWF4,2018-01-04 15:00:00,17.5031,269.9696,17.5031,0.0093,17.6300,270.8602,17.6280,-0.2647,17.2863,268.9071,17.2831,0.3297,17.3097,270.6259,17.3087,-0.1891
KWF4,2018-01-04 18:00:00,14.5114,264.8363,14.4525,1.3060,14.9879,265.6801,14.9454,1.1290,14.0504,263.9848,13.9731,1.4724,14.0914,264.5551,14.0279,1.3371
KWF4,2018-01-04 21:00:00,10.7464,242.5707,9.5383,4.9504,11.0823,241.8363,9.7702,5.2308,10.1780,242.6566,9.0408,4.6750,10.3509,242.1098,9.1486,4.8419
KWF4,2018-01-05 00:00:00,6.6833,236.9219,5.6001,3.6476,6.9074,236.5860,5.7657,3.8038,6.2506,236.1172,5.1892,3.4847,6.8141,236.0313,5.6512,3.8073
KWF4,2018-01-05 03:00:00,8.1307,240.5005,7.0767,4.0037,8.6122,239.2192,7.3990,4.4073,7.5492,240.1958,6.5506,3.7522,7.9872,239.4927,6.8815,4.0547
KWF4,2018-01-05 06:00:00,5.5385,191.8757,1.1398,5.4199,5.6957,192.5007,1.2328,5.5607,5.1532,192.5553,1.1202,5.0300,5.5004,188.2272,0.7871,5.4438
KWF4,2018-01-05 09:00:00,9.9139,197.3989,2.9645,9.4603,9.8729,197.8755,3.0305,9.3963,9.8172,196.5708,2.7999,9.4095,10.0291,196.4771,2.8446,9.6173
KWF4,2018-01-05 12:00:00,10.6785,203.2667,4.2181,9.8101,10.4861,202.0011,3.9284,9.7225,10.8015,204.4933,4.4782,9.8295,10.4197,204.5324,4.3263,9.4791
KWF4,2018-01-05 15:00:00,11.5346,240.2432,10.0137,5.7249,10.6357,240.3135,9.2397,5.2674,12.3251,240.3291,10.7091,6.1012,11.0966,248.1651,10.3006,4.1272
KWF4,2018-01-05 18:00:00,4.4902,278.4379,4.4416,-0.6589,4.7465,280.8519,4.6616,-0.8936,4.2997,277.1957,4.2659,-0.5386,4.1249,271.4457,4.1236,-0.1041
KWF4,2018-01-05 21:00:00,5.4912,253.8832,5.2753,1.5243,5.4575,254.8129,5.2669,1.4297,5.3203,252.5629,5.0758,1.5943,5.3286,254.5629,5.1363,1.4184
KWF4,2018-01-06 00:00:00,5.3728,317.7816,3.6103,-3.9791,4.9729,314.2894,3.5597,-3.4725,5.2854,313.1722,3.8547,-3.6163,5.1326,319.8519,3.3093,-3.9233
